[2025-02-10 13:37:13] ,1,17.51,498.971,-24.74,0.796,514.044,-41.76,

[2025-02-10 13:37:25] ,2,-7.601,407.291,-154.134,9.023,432.082,-83.884,

[2025-02-10 13:37:37] ,2,73.598,470.498,-28.856,2.545,496.032,117.022,

[2025-02-10 13:37:49] ,3,80.799,428.214,33.584,-4.908,452.641,89.621,

[2025-02-10 13:38:02] ,1,33.13,449.605,19.552,-11.556,466.609,7.063,

[2025-02-10 13:38:13] ,2,45.612,439.296,52.214,33.658,503.98,-1.023,

[2025-02-10 13:38:28] ,2,44.005,459.821,-174.391,22.272,493.22,-45,

[2025-02-10 13:38:40] ,3,70.587,508.989,-48.526,81.991,518.216,-47.203,

[2025-02-10 13:38:54] ,4,85.198,452.702,-10.305,79.53,511.098,-86.878,

[2025-02-10 13:39:24] ,3,18.137,423.834,-42.58,10.458,505.166,3.814,

[2025-02-10 13:39:44] ,4,13.01,398.006,43.152,69.776,512.086,-85.878,

[2025-02-10 13:41:52] ,1,65.853,437.072,37.786,0.901,443.014,-21.329,

[2025-02-10 13:41:57] ,1,65.853,437.072,37.786,0.901,443.014,-21.329,

[2025-02-10 13:42:05] ,1,66.48,455.339,-12.308,58.489,482.551,61.39,

[2025-02-10 13:42:17] ,2,28.78,416.321,-161.241,-8.641,457.622,134.64,

[2025-02-10 13:42:30] ,2,46.849,475.963,-107.956,30.395,483.743,33.83,

[2025-02-10 13:42:44] ,1,83.809,470.594,-49.343,2.468,508.353,-87.955,

[2025-02-10 13:42:55] ,3,32.914,499.63,-63.435,48.444,517.359,-46.621,

[2025-02-10 13:43:09] ,1,80.826,455.992,54.462,23.037,501.936,-68.009,

[2025-02-10 13:43:21] ,2,22.123,402.348,159.444,13.818,437.707,-62.758,

[2025-02-10 13:43:41] ,1,7.609,449.481,83.938,35.409,477.304,-88.493,

[2025-02-10 13:43:51] ,1,48.637,489.075,-44.64,47.711,507.528,72.372,

[2025-02-10 13:44:03] ,2,-9.183,439.587,-171.798,3.504,487.875,-38.501,

[2025-02-10 13:44:17] ,1,67.073,408.939,12.022,-7.652,472.234,87.99,

[2025-02-10 13:44:36] ,1,7.049,409.981,68.671,-4.331,459.275,-69.034,

[2025-02-10 13:44:46] ,1,-7.969,472.179,-73.639,32.273,480.78,-24.319,

[2025-02-10 13:44:59] ,2,50.267,421.593,-180,25.469,446.53,-87.973,

[2025-02-10 13:45:11] ,4,8.938,431.221,35.889,13.094,468.059,24.538,

[2025-02-10 13:45:24] ,4,15.994,491.523,-20.468,-7.536,504.177,25.71,

[2025-02-10 13:45:34] ,1,47.98,501.591,72.676,2.68,514.327,13.416,

[2025-02-10 13:45:42] ,2,31.862,465.881,128.972,15.467,469.246,-24.986,

[2025-02-10 13:45:54] ,3,31.178,511.4,32.735,56.401,517.491,-34.647,

[2025-02-10 13:46:08] ,4,-5.822,452.109,-18.113,80.651,500.355,-55.305,

[2025-02-10 13:46:21] ,1,82.341,467.758,70.105,36.722,515.308,34.114,

[2025-02-10 13:46:29] ,2,16.302,472.475,-119.055,-6.685,483.903,-101.81,

[2025-02-10 13:46:50] ,2,40.308,471.75,-57.567,60.021,494.884,-90,

[2025-02-10 13:46:59] ,3,20.739,427.855,25.545,82.892,436.687,-18.435,

[2025-02-10 13:47:12] ,4,-1.625,457.646,-78.986,31,484.619,64.277,

[2025-02-10 13:47:24] ,4,0.835,481.505,-46.779,77.948,493.632,60.895,

[2025-02-10 13:47:35] ,1,-9.842,428.316,2.045,30.065,497.057,-33.83,

[2025-02-10 13:47:43] ,2,57.101,465.74,128.501,44.6,492.497,131.76,

[2025-02-10 13:47:57] ,1,63.548,491.6,-36.666,8.778,516.605,69.624,

[2025-02-10 13:48:09] ,3,26.737,453.296,-15.584,44.203,477.287,7.219,

[2025-02-10 13:48:21] ,3,12.483,488.755,-63.605,-8.85,500.305,45.815,

[2025-02-10 13:48:41] ,2,48.685,451.055,7.063,10.059,453.457,92.534,

[2025-02-10 13:48:51] ,2,11.248,479.066,-167.905,50.918,481.88,-98.707,

[2025-02-10 13:49:03] ,4,32.35,449.671,-33.69,23.744,500.157,-41.257,

[2025-02-10 13:49:15] ,4,52.046,422.648,0,34.976,432.6,-33.83,

[2025-02-10 13:49:25] ,1,-11.777,413.449,70.105,34.646,444.793,16.991,

[2025-02-10 13:49:34] ,1,14.373,446.636,-30.184,-5.69,466.543,-14.769,

